,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
145,Blood,0.01940496452152729,0.13186515867710114,0.0,0.0,0.0,0.0,2.111473798751831,ALG10,0.0,0.0,0.0,all,immune
146,Bone_Marrow,0.02375067211687565,0.13412730395793915,0.0,0.0,0.0,0.0,1.8510099649429321,ALG10,0.0,0.0,0.0,all,immune
147,Eye,0.017185170203447342,0.11805455386638641,0.0,0.0,0.0,0.0,1.4358164072036743,ALG10,0.0,0.0,0.0,all,immune
148,Fat,0.018646830692887306,0.11458685249090195,0.0,0.0,0.0,0.0,1.591443657875061,ALG10,0.0,0.0,0.0,all,immune
149,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALG10,0.0,0.0,0.0,all,immune
150,Kidney,0.016434689983725548,0.11774585396051407,0.0,0.0,0.0,0.0,1.3268935680389404,ALG10,0.0,0.0,0.0,all,immune
151,Large_Intestine,0.00862911157310009,0.10056443512439728,0.0,0.0,0.0,0.0,1.5515660047531128,ALG10,0.0,0.0,0.0,all,immune
152,Liver,0.01207663118839264,0.10425998270511627,0.0,0.0,0.0,0.0,1.3402711153030396,ALG10,0.0,0.0,0.0,all,immune
153,Lung,0.014997082762420177,0.10391857475042343,0.0,0.0,0.0,0.0,1.871421456336975,ALG10,0.0,0.0,0.0,all,immune
154,Lymph_Node,0.030853796750307083,0.16819033026695251,0.0,0.0,0.0,0.0,2.3306915760040283,ALG10,0.0,0.0,0.0,all,immune
155,Mammary,0.016458164900541306,0.14897668361663818,0.0,0.0,0.0,0.0,1.9100964069366455,ALG10,0.0,0.0,0.0,all,immune
156,Muscle,0.014894535765051842,0.11499322950839996,0.0,0.0,0.0,0.0,1.5564199686050415,ALG10,0.0,0.0,0.0,all,immune
157,Pancreas,0.016036223620176315,0.10959744453430176,0.0,0.0,0.0,0.0,1.4429361820220947,ALG10,0.0,0.0,0.0,all,immune
158,Prostate,0.020008083432912827,0.14520272612571716,0.0,0.0,0.0,0.0,1.5115095376968384,ALG10,0.0,0.0,0.0,all,immune
159,Salivary_Gland,0.0376657135784626,0.18548138439655304,0.0,0.0,0.0,0.0,1.6568330526351929,ALG10,0.0,0.0,0.0,all,immune
160,Skin,0.007357501890510321,0.0913073718547821,0.0,0.0,0.0,0.0,1.5781854391098022,ALG10,0.0,0.0,0.0,all,immune
161,Small_Intestine,0.01158167701214552,0.10488384962081909,0.0,0.0,0.0,0.0,1.3531098365783691,ALG10,0.0,0.0,0.0,all,immune
162,Spleen,0.02602567709982395,0.14517711102962494,0.0,0.0,0.0,0.0,1.9078937768936157,ALG10,0.0,0.0,0.0,all,immune
163,Thymus,0.02587437629699707,0.1539410501718521,0.0,0.0,0.0,0.0,2.0120699405670166,ALG10,0.0,0.0,0.0,all,immune
164,Tongue,0.030627431347966194,0.17537593841552734,0.0,0.0,0.0,0.0,1.5209428071975708,ALG10,0.0,0.0,0.0,all,immune
165,Trachea,0.00882995780557394,0.08082602918148041,0.0,0.0,0.0,0.0,1.2242274284362793,ALG10,0.0,0.0,0.0,all,immune
166,Uterus,0.009351243264973164,0.101703941822052,0.0,0.0,0.0,0.0,1.436793565750122,ALG10,0.0,0.0,0.0,all,immune
167,Vasculature,0.024006938561797142,0.1281038075685501,0.0,0.0,0.0,0.0,1.664949893951416,ALG10,0.0,0.0,0.0,all,immune
168,Bladder,0.02328495681285858,0.14616988599300385,0.0,0.0,0.0,0.0,1.955832600593567,ALG10B,0.0,0.0,0.0,all,immune
169,Blood,0.025427604094147682,0.15036925673484802,0.0,0.0,0.0,0.0,2.133694887161255,ALG10B,0.0,0.0,0.0,all,immune
170,Bone_Marrow,0.03556186705827713,0.16759935021400452,0.0,0.0,0.0,0.0,2.069141387939453,ALG10B,0.0,0.0,0.0,all,immune
171,Eye,0.029265394434332848,0.15841299295425415,0.0,0.0,0.0,0.0,1.3601740598678589,ALG10B,0.0,0.0,0.0,all,immune
172,Fat,0.03555595874786377,0.14868667721748352,0.0,0.0,0.0,0.0,1.8296160697937012,ALG10B,0.0,0.0,0.0,all,immune
173,Heart,0.02340870164334774,0.11370733380317688,0.0,0.0,0.0,0.0,0.6374983191490173,ALG10B,0.0,0.0,0.0,all,immune
174,Kidney,0.04302271455526352,0.2028019279241562,0.0,0.0,0.0,0.0,2.115365505218506,ALG10B,0.0,0.0,0.0,all,immune
175,Large_Intestine,0.00878681056201458,0.1030721589922905,0.0,0.0,0.0,0.0,1.8338005542755127,ALG10B,0.0,0.0,0.0,all,immune
176,Liver,0.01663951948285103,0.11971519142389297,0.0,0.0,0.0,0.0,1.3340586423873901,ALG10B,0.0,0.0,0.0,all,immune
177,Lung,0.02434833161532879,0.135890930891037,0.0,0.0,0.0,0.0,2.0613231658935547,ALG10B,0.0,0.0,0.0,all,immune
178,Lymph_Node,0.030298689380288124,0.1699041873216629,0.0,0.0,0.0,0.0,2.096827983856201,ALG10B,0.0,0.0,0.0,all,immune
179,Mammary,0.014606893993914127,0.13778504729270935,0.0,0.0,0.0,0.0,1.5892671346664429,ALG10B,0.0,0.0,0.0,all,immune
180,Muscle,0.022180430591106415,0.1402805894613266,0.0,0.0,0.0,0.0,1.387270212173462,ALG10B,0.0,0.0,0.0,all,immune
181,Pancreas,0.039718303829431534,0.17686700820922852,0.0,0.0,0.0,0.0,1.898424506187439,ALG10B,0.0,0.0,0.0,all,immune
182,Prostate,0.030948271974921227,0.1841617077589035,0.0,0.0,0.0,0.0,2.312727689743042,ALG10B,0.0,0.0,0.0,all,immune
183,Salivary_Gland,0.033073827624320984,0.17359735071659088,0.0,0.0,0.0,0.0,2.0831692218780518,ALG10B,0.0,0.0,0.0,all,immune
184,Skin,0.0049415575340390205,0.06890986859798431,0.0,0.0,0.0,0.0,1.2792751789093018,ALG10B,0.0,0.0,0.0,all,immune
185,Small_Intestine,0.010397594422101974,0.10209079831838608,0.0,0.0,0.0,0.0,1.6953216791152954,ALG10B,0.0,0.0,0.0,all,immune
186,Spleen,0.024843774735927582,0.14378458261489868,0.0,0.0,0.0,0.0,2.073080062866211,ALG10B,0.0,0.0,0.0,all,immune
187,Thymus,0.03273620456457138,0.1826818287372589,0.0,0.0,0.0,0.0,2.1080777645111084,ALG10B,0.0,0.0,0.0,all,immune
188,Tongue,0.02349638007581234,0.15197288990020752,0.0,0.0,0.0,0.0,1.5619055032730103,ALG10B,0.0,0.0,0.0,all,immune
189,Trachea,0.01747957430779934,0.12442976236343384,0.0,0.0,0.0,0.0,1.480863094329834,ALG10B,0.0,0.0,0.0,all,immune
190,Uterus,0.02003677375614643,0.1404840499162674,0.0,0.0,0.0,0.0,1.816558837890625,ALG10B,0.0,0.0,0.0,all,immune
191,Vasculature,0.03048059716820717,0.14320987462997437,0.0,0.0,0.0,0.0,1.511096477508545,ALG10B,0.0,0.0,0.0,all,immune
192,Bladder,0.025412317365407944,0.15176334977149963,0.0,0.0,0.0,0.0,1.6362062692642212,ALG11,0.0,0.0,0.0,all,immune
193,Blood,0.04748135060071945,0.20539911091327667,0.0,0.0,0.0,0.0,2.001018762588501,ALG11,0.0,0.0,0.0,all,immune
194,Bone_Marrow,0.06719090789556503,0.2283182144165039,0.0,0.0,0.0,0.0,2.086561441421509,ALG11,0.0,0.0,0.0,all,immune
