,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
179,Vasculature,0.05656372755765915,0.17323482036590576,0.0,0.0,0.0,0.0,1.881962537765503,ALG11,0.0,0.0,0.0,all,stromal
180,Bladder,0.053306806832551956,0.19331121444702148,0.0,0.0,0.0,0.0,1.5933148860931396,ALG12,0.0,0.0,0.0,all,stromal
181,Eye,0.05458129197359085,0.17684195935726166,0.0,0.0,0.0,0.0,1.43875253200531,ALG12,0.0,0.0,0.0,all,stromal
182,Fat,0.08690595626831055,0.22908855974674225,0.0,0.0,0.0,0.0,2.0087099075317383,ALG12,0.0,0.0,0.0,all,stromal
183,Heart,0.06200503185391426,0.1771288514137268,0.0,0.0,0.0,0.0,1.877962589263916,ALG12,0.0,0.0,0.0,all,stromal
184,Large_Intestine,0.06590835750102997,0.2473517507314682,0.0,0.0,0.0,0.0,1.6747487783432007,ALG12,0.0,0.0,0.0,all,stromal
185,Liver,0.07690051198005676,0.29682499170303345,0.0,0.0,0.0,0.0,1.9764355421066284,ALG12,0.0,0.0,0.0,all,stromal
186,Lung,0.06463056802749634,0.2691006362438202,0.0,0.0,0.0,0.0,1.5212223529815674,ALG12,0.0,0.0,0.0,all,stromal
187,Lymph_Node,0.1410108506679535,0.317342072725296,0.0,0.0,0.0,0.0,1.8746848106384277,ALG12,0.0,0.0,0.0,all,stromal
188,Mammary,0.05860702693462372,0.230007603764534,0.0,0.0,0.0,0.0,2.133694887161255,ALG12,0.0,0.0,0.0,all,stromal
189,Muscle,0.04960830509662628,0.1923702359199524,0.0,0.0,0.0,0.0,1.7255733013153076,ALG12,0.0,0.0,0.0,all,stromal
